ICD10,PHECODE,Excl. Phecodes,Excl. Phenotypes
Q03.0,752.2,752-754.99," congenital anomalies of nervous system, spine"
J10.1,481,480-488.99, Pneumonia and influenza
B76.0,134,130-136.99, Other infections; including parasitic
J85.2,480.5,480-488.99, Pneumonia and influenza
N82.4,617,617-618.99, prolapse/fistula and other disorders often associated with childbirth
D48.6,174.3,"174-184.99, 610-610.99", cancer of female genital organs; breast dysplasia
A51,90,,
G57.6,351,351-355.99, mononeuritis and nerve lesions
M47.8,721.1,720-724.99,DORSOPATHIES
J12.2,480.2,480-488.99, Pneumonia and influenza
L53.8,695.8,690-697.99, Other inflammatory condition of skin
A80.4,324,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
D42.0,191,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
F16.9,316,316-319.99, Substance-related disorders
N44,603,600-609.99, male genital disorders
N02.6,580.11,580-590.99, diseases of kidney and ureters
J86,506,500-509.99, Pneumoconioses and other lung diseases
B96.0,480.1,480-488.99, Pneumonia and influenza
Z43.5,599,599-599.99, Other symptoms/disorders or the urinary system
E74.2,271.9,271-271.99,Disorders of carbohydrate transport &amp; metabolism
M93.2,732.7,730-739.99,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
E85.3,270.33,269-270.99, Disorders of amino-acid transport/metabolism
G37.8,341,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
M11.9,274.2,274-274.99,Gout
S10.9,915,910-919.99,"superficial, contusion, crushing injuries"
O16,642,642-642.99," Hypertension complicating pregnancy, childbirth, and the puerperium"
T27.3,1000,,
O75.1,669,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
L12.2,695.21,690-697.99, Other inflammatory condition of skin
T86.3,510.2,510-510.99, Other diseases of the lung
T84.7,81,,
T84.7,858,850-859.99, Complications
C22,155,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
G24.8,333.4,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
I52,414,410-414.99,ISCHEMIC HEART DISEASE
M83.1,261.41,260-264.99,Nutritional deficiencies
O69.2,663,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
T86.3,429.1,428-429.99, Heart failure
P25,656.22,656-656.99,Other and unspecified perinatal conditions
P71.3,656.3,656-656.99,Other and unspecified perinatal conditions
L41.0,696.2,690-697.99, Other inflammatory condition of skin
O36.1,654.2,652-654.99,Other and unspecified complications of birth affecting mother
S95.9,1007,,
Q28.3,747.2,747-747.99," congenital anomalies, circulatory and cardiac"
P05.2,637,634-639.99," miscarriage, early labor, hemorrhage"
S96.9,1009,,
E89.1,258,251-259.99,Other endocrine disorders
O23,647.1,647-647.99, Infectious and parasitic complications affecting pregnancy
Y47.3,967,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
D59.1,283.1,280-285.99,Anemias
R10.1,785,785-785.99, Abdominal pain
Q93.9,758.1,756-759.99, All other congenital anomalies
A04.3,8.51,,
A96.9,79,,
A83.5,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
N05.5,580.11,580-590.99, diseases of kidney and ureters
A21.8,41,,
A18.5,10,,
I42.2,425.12,420-425.99, Other peri-; endo-; and myocarditis
O15.9,642.1,642-642.99," Hypertension complicating pregnancy, childbirth, and the puerperium"
T29.3,1000,,
L28,695.7,690-697.99, Other inflammatory condition of skin
I77.3,447,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
K14.5,529,527-529.99, Diseases of mouth; excluding dental
N27.9,586.11,580-590.99, diseases of kidney and ureters
Q93.8,758.1,756-759.99, All other congenital anomalies
T73.2,1015,,
E05.2,242.2,240-246.99,DISORDERS OF THYROID GLAND
F02.1,324.1,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
L57.3,694.2,690-697.99, Other inflammatory condition of skin
R63.5,278.4,278-278.99, Obesity
D44.8,199,195-199.99,"Neoplasms: malignant, secondary or uncertain"
O87,671,670-677.99,COMPLICATIONS OF THE PUERPERIUM
D12,208,"153-153.99, 208-208.99", Benign and malignant neoplasm of colon
F02.1,290.1,290-292.99, dementia and related cognitive disorders/symptoms
T23.2,1000,,
C60.2,187.1,"185-187.99, 222-222.99", cancer/benign neoplasm of male genital organs
M70.3,726.1,725-729.99,"Rheumatism, Excluding The Back"
T46.3,972,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
N60.8,610.8,610-613.99, nonmalignant breast conditions
F18.1,290.3,290-292.99, dementia and related cognitive disorders/symptoms
M00-M03.9,711,710-716.99,Arthropathies
O41.9,653,652-654.99,Other and unspecified complications of birth affecting mother
K04.0,522.1,520-526.99, Disorders of teeth and jaw
D07.2,184.2,"174-184.99, 220-221.99", cancer of female genital organs; benign neoplasm of female genital organs
K27.1,531.4,531-531.99, gastro ulcer
Z22.6,1010,,
F42.8,300.3,295-306.99, psychological disorders
E83.2,686,680-686.99, Skin and subcutaneous tissue infections
E72.0,270.1,269-270.99, Disorders of amino-acid transport/metabolism
H90.6,389,387-389.99, Hearing loss and related disorders
Q13.4,753,752-754.99," congenital anomalies of nervous system, spine"
T31.1,1000,,
G56,351,351-355.99, mononeuritis and nerve lesions
T90.4,819,816-819.99, Intracranial injury
O35.4,655,655-655.99,Known or suspected fetal abnormality (mother)
R78.9,790,790-790.99,Nonspecific findings on examination of blood
Q90.2,758.1,756-759.99, All other congenital anomalies
S98,872,870-879.99, Open wound
F44.8,295,295-306.99, psychological disorders
F42.9,300.3,295-306.99, psychological disorders
I43.8,425.2,420-425.99, Other peri-; endo-; and myocarditis
C18.6,153.2,"150-159.99, 208-208.99", GI cancer; benign neoplasms of colon
J35.8,474.2,470-479.99, other/chronic upper respiratory disease
G37.9,341,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
M94.0,733.6,730-739.99,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
Q41.2,750.21,750-751.99," congenital anomalies of gi, urinary tract"
K87,575.8,574-576.99, Biliary tract disease
L75.8,705,705-706.99, disorders of sweat and sebaceous glands
N60.0,610.1,610-613.99, nonmalignant breast conditions
L92.1,702.4,700-702.99, Other hypertrophic and atrophic conditions of skin
S96,1009,,
K83.8,575.8,574-576.99, Biliary tract disease
K90.1,557.1,555-564.99, noninfective gastrointestinal disorders
C85,202.2,200-204.99, cancer of lymphatic and hematopoietic tissue
T11.3,1009,,
T02.9,809,800-809.99, Fractures
C18.5,153.2,"150-159.99, 208-208.99", GI cancer; benign neoplasms of colon
N81.5,618.6,617-618.99, prolapse/fistula and other disorders often associated with childbirth
C41.2,170.1,170-171.99,"Cancer of bone, connective tissue"
B33.3,79,,
D33.9,225,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
M16.9,740.1,740-740.99, osteoarthritis
Q18.0,749,748-749.99," congenital anomalies of respiratory system, face and neck"
G07,324,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
J98.5,479,470-479.99, other/chronic upper respiratory disease
R29.2,350.5,350-350.99," Other symptoms, reflex"
I64,433.21,430-438.99,CEREBROVASCULAR DISEASE
I69,433.8,430-438.99,CEREBROVASCULAR DISEASE
K35-K38.9,540,540-540.99, appendicitis and other appendiceal conditions
P36.1,657,657-657.99,Infections specific to the perinatal period
T02.9,1015,,
Q76.2,754.2,754-756.99, congenital musculoskeletal anomalies
R22.3,771,771-771.99, Musculoskeletal symptoms referable to limbs
A15.6,10,,
M50.3,722.6,720-724.99,DORSOPATHIES
P83.4,656.7,656-656.99,Other and unspecified perinatal conditions
J43.1,496.1,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
R10.3,785,785-785.99, Abdominal pain
N43.0,603.1,600-609.99, male genital disorders
A80-A89.9,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
L53.2,695.1,690-697.99, Other inflammatory condition of skin
R04.8,516.1,516-516.99, Abnormal sputum
B01.9,79.1,,
Q43.4,750.21,750-751.99," congenital anomalies of gi, urinary tract"
B37.3,112,110-118.99, Mycoses
A06.5,8,,
C72,191.1,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
Q13,753,752-754.99," congenital anomalies of nervous system, spine"
I69.0,433.8,430-438.99,CEREBROVASCULAR DISEASE
E11.3,250.23,249-250.99,DIABETES
M99.9,738,735-739.99, Acquired deformities
D89.8,279.8,279-279.99,Other Immune Disorders
B96.7,41,,
C44.6,172.2,172-173.99,Malignant neoplasm of skin
B34.0,79,,
E72.1,270.11,269-270.99, Disorders of amino-acid transport/metabolism
E11.7,250.2,249-250.99,DIABETES
S85.2,1007,,
F71.1,315.3,312-315.99,Developmental/behavioral disorders
B34.2,79,,
K37,540.1,540-540.99, appendicitis and other appendiceal conditions
N60-N64.9,613.9,613-613.99, other nonmalignant breast conditions
D24,610.4,610-613.99, nonmalignant breast conditions
B40.3,117.3,110-118.99, Mycoses
D19.9,229,229-229.99,Benign neoplasm of other and unspecified sites
C49.9,170.2,170-171.99,"Cancer of bone, connective tissue"
J44.1,496.21,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
N02.4,580.11,580-590.99, diseases of kidney and ureters
S63.4,840.3,840-848.99,Sprains And Strains Of Joints And Adjacent Muscles
P51.8,656.4,656-656.99,Other and unspecified perinatal conditions
Q00-Q99.9,752,752-754.99," congenital anomalies of nervous system, spine"
E77.8,277.51,277-277.99,Other/unspecified disorders of metabolism
S63.4,840,840-848.99,Sprains And Strains Of Joints And Adjacent Muscles
K14.2,529.1,527-529.99, Diseases of mouth; excluding dental
Q00.1,752.1,752-754.99," congenital anomalies of nervous system, spine"
S05.2,870.1,870-879.99, Open wound
N31.8,596.5,595-597.99, other diseases of urinary system
D48.9,199,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C44.0,172.2,172-173.99,Malignant neoplasm of skin
P01.6,658,658-658.99,Maternal complication of pregnancy affecting fetus or newborn
G59.0,250.24,249-250.99,DIABETES
O04.1,634,634-636.99,complications of pregnancy
G83.0,344,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
R54,290,290-292.99, dementia and related cognitive disorders/symptoms
E14.7,250,249-250.99,DIABETES
Q51.1,751.11,750-751.99," congenital anomalies of gi, urinary tract"
T18.0,1001,,
A04.5,8.5,,
D75.0,289.9,288-289.99,Other diseases of the blood
G46.4,433,430-438.99,CEREBROVASCULAR DISEASE
F02.4,290.3,290-292.99, dementia and related cognitive disorders/symptoms
T49.6,976,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
P10.2,656.4,656-656.99,Other and unspecified perinatal conditions
D41.7,199,195-199.99,"Neoplasms: malignant, secondary or uncertain"
N49.8,601.8,"185-187.99, 796-796.99, 600-602.99", male genital disorders/cancer/neoplasms; elevated psa
L10,695.22,690-697.99, Other inflammatory condition of skin
P81.9,656.7,656-656.99,Other and unspecified perinatal conditions
H44.9,360,360-365.99, Degenerative disorders of the eye
H22.8,379.5,375-379.99, other eye disorders
M41.2,737.3,735-739.99, Acquired deformities
M08.4,714.2,"714-716.00, 696-696.99", Autoimmune arthritis and psoriasis
B39.3,117.1,110-118.99, Mycoses
L03.0,681.1,680-686.99, Skin and subcutaneous tissue infections
A34,639,634-639.99," miscarriage, early labor, hemorrhage"
R89,1010,,
H22.8,371.1,369-374.99, infection/inflammation of eye
T53.1,987,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
S43.2,830,830-839.99, joint disorders and dislocations; trauma-related
N80.6,615,614-616.99,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS
S72.8,800,800-809.99, Fractures
Q66.0,755.1,754-756.99, congenital musculoskeletal anomalies
Q71.4,755.4,754-756.99, congenital musculoskeletal anomalies
D07.6,187,"185-187.99, 222-222.99", cancer/benign neoplasm of male genital organs
E29,257,251-259.99,Other endocrine disorders
A85.2,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
H35.0,362.4,"250.70-250.79,360-365.99", diabetic retinopathy and degenerative disorders of the eye
Q54.0,751.12,750-751.99," congenital anomalies of gi, urinary tract"
P94.1,656,656-656.99,Other and unspecified perinatal conditions
J18.1,480.11,480-488.99, Pneumonia and influenza
E04.9,240,240-246.99,DISORDERS OF THYROID GLAND
G83.9,344,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
R56,345.3,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
L73.1,704.8,703-704.99, Diseases of hair and nails
Q07.0,747.1,747-747.99," congenital anomalies, circulatory and cardiac"
Q07.0,752.11,752-754.99," congenital anomalies of nervous system, spine"
Q75.1,749.2,748-749.99," congenital anomalies of respiratory system, face and neck"
I25.8,411.8,410-414.99,ISCHEMIC HEART DISEASE
P35.9,657,657-657.99,Infections specific to the perinatal period
E70.9,270.1,269-270.99, Disorders of amino-acid transport/metabolism
Q22.4,747.12,747-747.99," congenital anomalies, circulatory and cardiac"
F68.8,303,295-306.99, psychological disorders
I67.9,433,430-438.99,CEREBROVASCULAR DISEASE
K26.7,531.3,531-531.99, gastro ulcer
S55,1007,,
D03.8,172.11,172-173.99,Malignant neoplasm of skin
S27.6,1008,,
L24.9,939,930-949.99, allergic reactions
L59,938,930-949.99, allergic reactions
N93.9,626,626-628.99," menstrual/menopausal disorders, female infertility"
Q27.9,747.2,747-747.99," congenital anomalies, circulatory and cardiac"
E88.0,277,277-277.99,Other/unspecified disorders of metabolism
E31.0,259,251-259.99,Other endocrine disorders
Q55.8,751.1,750-751.99," congenital anomalies of gi, urinary tract"
B34.3,79,,
P92.0,656.3,656-656.99,Other and unspecified perinatal conditions
S45.2,1007,,
T00,915,910-919.99,"superficial, contusion, crushing injuries"
H46,377.3,375-379.99, other eye disorders
E34.0,259.2,251-259.99,Other endocrine disorders
T00.8,1009,,
I13.0,401.2,401-405.99,HYPERTENSIVE DISEASE
J94.9,507,500-509.99, Pneumoconioses and other lung diseases
E77,277.51,277-277.99,Other/unspecified disorders of metabolism
R71,289.9,288-289.99,Other diseases of the blood
F16.8,316,316-319.99, Substance-related disorders
B81.4,134.1,130-136.99, Other infections; including parasitic
D17.9,214,214-215.99,Lipoma and Other benign neoplasm of connective and other soft tissue
S72.2,800.2,800-809.99, Fractures
S64.3,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
K82.0,575.7,574-576.99, Biliary tract disease
E10.7,250.1,249-250.99,DIABETES
D23.3,216,216-217.99,Benign neoplasm of skin
C21.2,153,"150-159.99, 208-208.99", GI cancer; benign neoplasms of colon
I77,447,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
M70-M79.9,729,725-729.99,"Rheumatism, Excluding The Back"
P13.4,665,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
A79.1,136,130-136.99, Other infections; including parasitic
M53.2,741,741-742.99, other non-traumatic joint disorders
M53.2,742.9,741-742.99, other non-traumatic joint disorders
T85.2,859,850-859.99, Complications
M35.9,709.7,"690-697.99, 708-709.99",
H69.9,381.2,381-385.99, otitis media and related conditions
C88.3,204.4,200-204.99, cancer of lymphatic and hematopoietic tissue
H83.1,386.3,386-386.99, conditions associated with dizziness or vertigo
O75.3,647,647-647.99, Infectious and parasitic complications affecting pregnancy
O03.8,634,634-636.99,complications of pregnancy
J01.1,464,460-469.99, acute upper respiratory infections
S93.6,1009,,
C40.3,170.1,170-171.99,"Cancer of bone, connective tissue"
C75.5,194,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands"
N60.4,610.8,610-613.99, nonmalignant breast conditions
T90.3,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
D21.0,215,214-215.99,Lipoma and Other benign neoplasm of connective and other soft tissue
C18.1,153.2,"150-159.99, 208-208.99", GI cancer; benign neoplasms of colon
M31.3,446.4,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
N50.8,608,600-609.99, male genital disorders
S24,952,950-957.99,Injury to nerves and spinal cord
L43.3,695.7,690-697.99, Other inflammatory condition of skin
C72.3,191.1,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
T35.7,1014,,
N99.2,619.4,619-619.99, Other noninflammatory female genital disorders
L81.5,694.2,690-697.99, Other inflammatory condition of skin
O69.5,663,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
A03.0,8.5,,
E83,275,275-275.99,Disorders of mineral metabolism
M46.4,722.9,720-724.99,DORSOPATHIES
B42.9,117,110-118.99, Mycoses
T15.0,1001,,
J33.0,471,470-479.99, other/chronic upper respiratory disease
F80.1,315.2,312-315.99,Developmental/behavioral disorders
O65.3,652,652-654.99,Other and unspecified complications of birth affecting mother
C18.7,153.2,"150-159.99, 208-208.99", GI cancer; benign neoplasms of colon
O92.3,676,670-677.99,COMPLICATIONS OF THE PUERPERIUM
K40.9,550.1,550-550.99, Abdominal hernia
I65.9,433.1,430-438.99,CEREBROVASCULAR DISEASE
A37.0,41,,
S38.1,915,910-919.99,"superficial, contusion, crushing injuries"
S38.1,1009,,
Z86.6,324,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
O72,635.3,634-636.99,complications of pregnancy
Q56.3,751.1,750-751.99," congenital anomalies of gi, urinary tract"
N46,609.1,600-609.99, male genital disorders
N76.5,614.5,614-616.99,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS
